都道府県,性別,年齢区分,下限値,上限値,人数
熊本県,男性,40～44歳,,,25602
熊本県,男性,40～44歳,31.0,inf,4777
熊本県,男性,40～44歳,51.0,inf,1090
大分県,男性,40～44歳,,,17567
大分県,男性,40～44歳,31.0,inf,3115
大分県,男性,40～44歳,51.0,inf,695
宮崎県,男性,40～44歳,,,15186
宮崎県,男性,40～44歳,31.0,inf,2911
宮崎県,男性,40～44歳,51.0,inf,643
鹿児島県,男性,40～44歳,,,21000
鹿児島県,男性,40～44歳,31.0,inf,4106
鹿児島県,男性,40～44歳,51.0,inf,955
沖縄県,男性,40～44歳,,,19199
沖縄県,男性,40～44歳,31.0,inf,4200
沖縄県,男性,40～44歳,51.0,inf,1165
北海道,男性,45～49歳,,,81493
北海道,男性,45～49歳,31.0,inf,16112
北海道,男性,45～49歳,51.0,inf,3817
青森県,男性,45～49歳,,,20166
青森県,男性,45～49歳,31.0,inf,4444
青森県,男性,45～49歳,51.0,inf,1126
岩手県,男性,45～49歳,,,21523
岩手県,男性,45～49歳,31.0,inf,4963
岩手県,男性,45～49歳,51.0,inf,1239
宮城県,男性,45～49歳,,,45095
宮城県,男性,45～49歳,31.0,inf,8659
宮城県,男性,45～49歳,51.0,inf,2165
秋田県,男性,45～49歳,,,15251
秋田県,男性,45～49歳,31.0,inf,3554
秋田県,男性,45～49歳,51.0,inf,915
山形県,男性,45～49歳,,,20584
山形県,男性,45～49歳,31.0,inf,4197
山形県,男性,45～49歳,51.0,inf,965
福島県,男性,45～49歳,,,32413
福島県,男性,45～49歳,31.0,inf,6492
福島県,男性,45～49歳,51.0,inf,1550
茨城県,男性,45～49歳,,,55438
茨城県,男性,45～49歳,31.0,inf,10613
茨城県,男性,45～49歳,51.0,inf,2560
栃木県,男性,45～49歳,,,39270
栃木県,男性,45～49歳,31.0,inf,7753
栃木県,男性,45～49歳,51.0,inf,1820
群馬県,男性,45～49歳,,,37636
群馬県,男性,45～49歳,31.0,inf,6828
群馬県,男性,45～49歳,51.0,inf,1491
埼玉県,男性,45～49歳,,,146833
埼玉県,男性,45～49歳,31.0,inf,27025
埼玉県,男性,45～49歳,51.0,inf,6446
千葉県,男性,45～49歳,,,120590
千葉県,男性,45～49歳,31.0,inf,22203
千葉県,男性,45～49歳,51.0,inf,5632
東京都,男性,45～49歳,,,293617
東京都,男性,45～49歳,31.0,inf,55625
東京都,男性,45～49歳,51.0,inf,13730
神奈川県,男性,45～49歳,,,189496
神奈川県,男性,45～49歳,31.0,inf,35404
神奈川県,男性,45～49歳,51.0,inf,8294
新潟県,男性,45～49歳,,,44814
新潟県,男性,45～49歳,31.0,inf,8507
新潟県,男性,45～49歳,51.0,inf,1891
富山県,男性,45～49歳,,,23549
富山県,男性,45～49歳,31.0,inf,4265
富山県,男性,45～49歳,51.0,inf,974
石川県,男性,45～49歳,,,24252
石川県,男性,45～49歳,31.0,inf,4215
石川県,男性,45～49歳,51.0,inf,896
福井県,男性,45～49歳,,,15495
福井県,男性,45～49歳,31.0,inf,2606
福井県,男性,45～49歳,51.0,inf,542
山梨県,男性,45～49歳,,,15748
山梨県,男性,45～49歳,31.0,inf,2587
山梨県,男性,45～49歳,51.0,inf,590
長野県,男性,45～49歳,,,42340
長野県,男性,45～49歳,31.0,inf,7196
長野県,男性,45～49歳,51.0,inf,1520
岐阜県,男性,45～49歳,,,41213
岐阜県,男性,45～49歳,31.0,inf,6370
