都道府県,性別,年齢区分,下限値,上限値,人数
愛媛県,男性,40～44歳,0.0,85.0,13730
高知県,男性,40～44歳,90.0,inf,3265
高知県,男性,40～44歳,85.0,90.0,2056
高知県,男性,40～44歳,0.0,85.0,6707
福岡県,男性,40～44歳,90.0,inf,26338
福岡県,男性,40～44歳,85.0,90.0,17444
福岡県,男性,40～44歳,0.0,85.0,51492
佐賀県,男性,40～44歳,90.0,inf,4199
佐賀県,男性,40～44歳,85.0,90.0,2720
佐賀県,男性,40～44歳,0.0,85.0,7653
長崎県,男性,40～44歳,90.0,inf,5780
長崎県,男性,40～44歳,85.0,90.0,3671
長崎県,男性,40～44歳,0.0,85.0,10717
熊本県,男性,40～44歳,90.0,inf,9641
熊本県,男性,40～44歳,85.0,90.0,5680
熊本県,男性,40～44歳,0.0,85.0,16150
大分県,男性,40～44歳,90.0,inf,5859
大分県,男性,40～44歳,85.0,90.0,3699
大分県,男性,40～44歳,0.0,85.0,11792
宮崎県,男性,40～44歳,90.0,inf,5405
宮崎県,男性,40～44歳,85.0,90.0,3452
宮崎県,男性,40～44歳,0.0,85.0,9886
鹿児島県,男性,40～44歳,90.0,inf,7883
鹿児島県,男性,40～44歳,85.0,90.0,4774
鹿児島県,男性,40～44歳,0.0,85.0,13403
沖縄県,男性,40～44歳,90.0,inf,8528
沖縄県,男性,40～44歳,85.0,90.0,4628
沖縄県,男性,40～44歳,0.0,85.0,11409
北海道,男性,45～49歳,90.0,inf,32780
北海道,男性,45～49歳,85.0,90.0,18904
北海道,男性,45～49歳,0.0,85.0,49984
青森県,男性,45～49歳,90.0,inf,8576
青森県,男性,45～49歳,85.0,90.0,4838
青森県,男性,45～49歳,0.0,85.0,12365
岩手県,男性,45～49歳,90.0,inf,8532
岩手県,男性,45～49歳,85.0,90.0,5159
岩手県,男性,45～49歳,0.0,85.0,14051
宮城県,男性,45～49歳,90.0,inf,17952
宮城県,男性,45～49歳,85.0,90.0,10463
宮城県,男性,45～49歳,0.0,85.0,27547
秋田県,男性,45～49歳,90.0,inf,6638
秋田県,男性,45～49歳,85.0,90.0,3837
秋田県,男性,45～49歳,0.0,85.0,9248
山形県,男性,45～49歳,90.0,inf,7314
山形県,男性,45～49歳,85.0,90.0,4613
山形県,男性,45～49歳,0.0,85.0,13811
福島県,男性,45～49歳,90.0,inf,12802
福島県,男性,45～49歳,85.0,90.0,7594
福島県,男性,45～49歳,0.0,85.0,20112
茨城県,男性,45～49歳,90.0,inf,21876
茨城県,男性,45～49歳,85.0,90.0,12896
茨城県,男性,45～49歳,0.0,85.0,33859
栃木県,男性,45～49歳,90.0,inf,15620
栃木県,男性,45～49歳,85.0,90.0,9155
