都道府県,性別,年齢区分,下限値,上限値,人数
三重県,男性,40～44歳,60.0,90.0,3116
三重県,男性,40～44歳,45.0,60.0,121
三重県,男性,40～44歳,30.0,45.0,-
三重県,男性,40～44歳,0.0,30.0,-
滋賀県,男性,40～44歳,90.0,inf,1005
滋賀県,男性,40～44歳,60.0,90.0,3814
滋賀県,男性,40～44歳,45.0,60.0,103
滋賀県,男性,40～44歳,30.0,45.0,-
滋賀県,男性,40～44歳,0.0,30.0,-
京都府,男性,40～44歳,90.0,inf,811
京都府,男性,40～44歳,60.0,90.0,3342
京都府,男性,40～44歳,45.0,60.0,122
京都府,男性,40～44歳,30.0,45.0,-
京都府,男性,40～44歳,0.0,30.0,-
大阪府,男性,40～44歳,90.0,inf,3725
大阪府,男性,40～44歳,60.0,90.0,14975
大阪府,男性,40～44歳,45.0,60.0,566
大阪府,男性,40～44歳,30.0,45.0,21
大阪府,男性,40～44歳,0.0,30.0,-
兵庫県,男性,40～44歳,90.0,inf,2008
兵庫県,男性,40～44歳,60.0,90.0,8715
兵庫県,男性,40～44歳,45.0,60.0,314
兵庫県,男性,40～44歳,30.0,45.0,-
兵庫県,男性,40～44歳,0.0,30.0,10
奈良県,男性,40～44歳,90.0,inf,424
奈良県,男性,40～44歳,60.0,90.0,1867
奈良県,男性,40～44歳,45.0,60.0,68
奈良県,男性,40～44歳,30.0,45.0,-
奈良県,男性,40～44歳,0.0,30.0,-
和歌山県,男性,40～44歳,90.0,inf,142
和歌山県,男性,40～44歳,60.0,90.0,1058
和歌山県,男性,40～44歳,45.0,60.0,86
和歌山県,男性,40～44歳,30.0,45.0,-
和歌山県,男性,40～44歳,0.0,30.0,-
鳥取県,男性,40～44歳,90.0,inf,90
鳥取県,男性,40～44歳,60.0,90.0,282
鳥取県,男性,40～44歳,45.0,60.0,10
鳥取県,男性,40～44歳,30.0,45.0,-
鳥取県,男性,40～44歳,0.0,30.0,-
島根県,男性,40～44歳,90.0,inf,134
島根県,男性,40～44歳,60.0,90.0,650
島根県,男性,40～44歳,45.0,60.0,35
島根県,男性,40～44歳,30.0,45.0,-
島根県,男性,40～44歳,0.0,30.0,-
岡山県,男性,40～44歳,90.0,inf,384
岡山県,男性,40～44歳,60.0,90.0,2146
岡山県,男性,40～44歳,45.0,60.0,93
岡山県,男性,40～44歳,30.0,45.0,-
岡山県,男性,40～44歳,0.0,30.0,-
広島県,男性,40～44歳,90.0,inf,559
広島県,男性,40～44歳,60.0,90.0,2815
広島県,男性,40～44歳,45.0,60.0,120
