都道府県,性別,年齢区分,下限値,上限値,人数
静岡県,男性,40～44歳,0.0,5.6,32094
愛知県,男性,40～44歳,8.4,inf,1072
愛知県,男性,40～44歳,8.0,8.4,278
愛知県,男性,40～44歳,6.5,8.0,2795
愛知県,男性,40～44歳,6.0,6.5,5160
愛知県,男性,40～44歳,5.6,6.0,31079
愛知県,男性,40～44歳,0.0,5.6,92034
三重県,男性,40～44歳,8.4,inf,223
三重県,男性,40～44歳,8.0,8.4,62
三重県,男性,40～44歳,6.5,8.0,536
三重県,男性,40～44歳,6.0,6.5,947
三重県,男性,40～44歳,5.6,6.0,5918
三重県,男性,40～44歳,0.0,5.6,16119
滋賀県,男性,40～44歳,8.4,inf,176
滋賀県,男性,40～44歳,8.0,8.4,35
滋賀県,男性,40～44歳,6.5,8.0,419
滋賀県,男性,40～44歳,6.0,6.5,782
滋賀県,男性,40～44歳,5.6,6.0,5307
滋賀県,男性,40～44歳,0.0,5.6,16167
京都府,男性,40～44歳,8.4,inf,237
京都府,男性,40～44歳,8.0,8.4,44
京都府,男性,40～44歳,6.5,8.0,526
京都府,男性,40～44歳,6.0,6.5,1009
京都府,男性,40～44歳,5.6,6.0,7231
京都府,男性,40～44歳,0.0,5.6,22509
大阪府,男性,40～44歳,8.4,inf,1111
大阪府,男性,40～44歳,8.0,8.4,216
大阪府,男性,40～44歳,6.5,8.0,2361
大阪府,男性,40～44歳,6.0,6.5,4045
大阪府,男性,40～44歳,5.6,6.0,25507
大阪府,男性,40～44歳,0.0,5.6,84392
兵庫県,男性,40～44歳,8.4,inf,601
兵庫県,男性,40～44歳,8.0,8.4,133
兵庫県,男性,40～44歳,6.5,8.0,1402
兵庫県,男性,40～44歳,6.0,6.5,2878
兵庫県,男性,40～44歳,5.6,6.0,17962
兵庫県,男性,40～44歳,0.0,5.6,54427
奈良県,男性,40～44歳,8.4,inf,125
奈良県,男性,40～44歳,8.0,8.4,34
奈良県,男性,40～44歳,6.5,8.0,279
奈良県,男性,40～44歳,6.0,6.5,549
奈良県,男性,40～44歳,5.6,6.0,3335
奈良県,男性,40～44歳,0.0,5.6,10266
和歌山県,男性,40～44歳,8.4,inf,68
和歌山県,男性,40～44歳,8.0,8.4,21
和歌山県,男性,40～44歳,6.5,8.0,198
和歌山県,男性,40～44歳,6.0,6.5,352
和歌山県,男性,40～44歳,5.6,6.0,2022
和歌山県,男性,40～44歳,0.0,5.6,5194
鳥取県,男性,40～44歳,8.4,inf,36
鳥取県,男性,40～44歳,8.0,8.4,16
鳥取県,男性,40～44歳,6.5,8.0,121
鳥取県,男性,40～44歳,6.0,6.5,228
鳥取県,男性,40～44歳,5.6,6.0,1282
鳥取県,男性,40～44歳,0.0,5.6,4003
島根県,男性,40～44歳,8.4,inf,86
島根県,男性,40～44歳,8.0,8.4,14
島根県,男性,40～44歳,6.5,8.0,201
島根県,男性,40～44歳,6.0,6.5,493
島根県,男性,40～44歳,5.6,6.0,2770
島根県,男性,40～44歳,0.0,5.6,5547
岡山県,男性,40～44歳,8.4,inf,186
岡山県,男性,40～44歳,8.0,8.4,48
岡山県,男性,40～44歳,6.5,8.0,445
岡山県,男性,40～44歳,6.0,6.5,1113
岡山県,男性,40～44歳,5.6,6.0,6805
岡山県,男性,40～44歳,0.0,5.6,13519
広島県,男性,40～44歳,8.4,inf,274
広島県,男性,40～44歳,8.0,8.4,73
広島県,男性,40～44歳,6.5,8.0,722
広島県,男性,40～44歳,6.0,6.5,1361
広島県,男性,40～44歳,5.6,6.0,8350
