都道府県,性別,年齢区分,検査値範囲,人数
富山県,女性,40～44歳,＋＋,68
富山県,女性,40～44歳,＋＋＋,-
石川県,女性,40～44歳,－,16050
石川県,女性,40～44歳,±,1704
石川県,女性,40～44歳,＋,408
石川県,女性,40～44歳,＋＋,77
石川県,女性,40～44歳,＋＋＋,18
福井県,女性,40～44歳,－,11055
福井県,女性,40～44歳,±,778
福井県,女性,40～44歳,＋,223
福井県,女性,40～44歳,＋＋,40
福井県,女性,40～44歳,＋＋＋,12
山梨県,女性,40～44歳,－,10439
山梨県,女性,40～44歳,±,1197
山梨県,女性,40～44歳,＋,196
山梨県,女性,40～44歳,＋＋,37
山梨県,女性,40～44歳,＋＋＋,13
長野県,女性,40～44歳,－,27894
長野県,女性,40～44歳,±,2038
長野県,女性,40～44歳,＋,424
長野県,女性,40～44歳,＋＋,84
長野県,女性,40～44歳,＋＋＋,26
岐阜県,女性,40～44歳,－,24680
岐阜県,女性,40～44歳,±,2074
岐阜県,女性,40～44歳,＋,552
岐阜県,女性,40～44歳,＋＋,84
岐阜県,女性,40～44歳,＋＋＋,33
静岡県,女性,40～44歳,－,49978
静岡県,女性,40～44歳,±,2912
静岡県,女性,40～44歳,＋,600
静岡県,女性,40～44歳,＋＋,126
静岡県,女性,40～44歳,＋＋＋,46
愛知県,女性,40～44歳,－,103841
愛知県,女性,40～44歳,±,7302
愛知県,女性,40～44歳,＋,2011
愛知県,女性,40～44歳,＋＋,425
愛知県,女性,40～44歳,＋＋＋,92
三重県,女性,40～44歳,－,22998
三重県,女性,40～44歳,±,1631
三重県,女性,40～44歳,＋,357
三重県,女性,40～44歳,＋＋,82
三重県,女性,40～44歳,＋＋＋,18
滋賀県,女性,40～44歳,－,21298
滋賀県,女性,40～44歳,±,1399
滋賀県,女性,40～44歳,＋,394
滋賀県,女性,40～44歳,＋＋,77
滋賀県,女性,40～44歳,＋＋＋,-
京都府,女性,40～44歳,－,31908
京都府,女性,40～44歳,±,3128
京都府,女性,40～44歳,＋,688
京都府,女性,40～44歳,＋＋,140
京都府,女性,40～44歳,＋＋＋,23
大阪府,女性,40～44歳,－,109521
大阪府,女性,40～44歳,±,9248
大阪府,女性,40～44歳,＋,2424
大阪府,女性,40～44歳,＋＋,491
大阪府,女性,40～44歳,＋＋＋,94
兵庫県,女性,40～44歳,－,65538
兵庫県,女性,40～44歳,±,6569
兵庫県,女性,40～44歳,＋,1443
兵庫県,女性,40～44歳,＋＋,268
兵庫県,女性,40～44歳,＋＋＋,48
奈良県,女性,40～44歳,－,15286
奈良県,女性,40～44歳,±,1403
奈良県,女性,40～44歳,＋,292
奈良県,女性,40～44歳,＋＋,42
奈良県,女性,40～44歳,＋＋＋,13
和歌山県,女性,40～44歳,－,9714
和歌山県,女性,40～44歳,±,947
和歌山県,女性,40～44歳,＋,226
和歌山県,女性,40～44歳,＋＋,38
和歌山県,女性,40～44歳,＋＋＋,-
鳥取県,女性,40～44歳,－,7115
鳥取県,女性,40～44歳,±,651
鳥取県,女性,40～44歳,＋,123
鳥取県,女性,40～44歳,＋＋,22
鳥取県,女性,40～44歳,＋＋＋,-
島根県,女性,40～44歳,－,9340
島根県,女性,40～44歳,±,783
島根県,女性,40～44歳,＋,203
島根県,女性,40～44歳,＋＋,53
島根県,女性,40～44歳,＋＋＋,10
岡山県,女性,40～44歳,－,24281
岡山県,女性,40～44歳,±,2282
岡山県,女性,40～44歳,＋,335
岡山県,女性,40～44歳,＋＋,69
岡山県,女性,40～44歳,＋＋＋,11
広島県,女性,40～44歳,－,34970
広島県,女性,40～44歳,±,2945
広島県,女性,40～44歳,＋,623
広島県,女性,40～44歳,＋＋,131
広島県,女性,40～44歳,＋＋＋,31
山口県,女性,40～44歳,－,14744
山口県,女性,40～44歳,±,1305
山口県,女性,40～44歳,＋,342
山口県,女性,40～44歳,＋＋,60
山口県,女性,40～44歳,＋＋＋,19
徳島県,女性,40～44歳,－,8280
徳島県,女性,40～44歳,±,1432
徳島県,女性,40～44歳,＋,236
徳島県,女性,40～44歳,＋＋,47
徳島県,女性,40～44歳,＋＋＋,16
香川県,女性,40～44歳,－,12368
香川県,女性,40～44歳,±,1218
香川県,女性,40～44歳,＋,221
香川県,女性,40～44歳,＋＋,39
香川県,女性,40～44歳,＋＋＋,-
愛媛県,女性,40～44歳,－,17285
愛媛県,女性,40～44歳,±,1491
愛媛県,女性,40～44歳,＋,403
愛媛県,女性,40～44歳,＋＋,74
愛媛県,女性,40～44歳,＋＋＋,10
高知県,女性,40～44歳,－,8654
高知県,女性,40～44歳,±,1042
高知県,女性,40～44歳,＋,189
高知県,女性,40～44歳,＋＋,67
高知県,女性,40～44歳,＋＋＋,15
福岡県,女性,40～44歳,－,67845
福岡県,女性,40～44歳,±,6033
福岡県,女性,40～44歳,＋,1293
福岡県,女性,40～44歳,＋＋,281
福岡県,女性,40～44歳,＋＋＋,69
佐賀県,女性,40～44歳,－,9689
佐賀県,女性,40～44歳,±,1234
佐賀県,女性,40～44歳,＋,234
佐賀県,女性,40～44歳,＋＋,39
佐賀県,女性,40～44歳,＋＋＋,-
長崎県,女性,40～44歳,－,15316
長崎県,女性,40～44歳,±,1552
長崎県,女性,40～44歳,＋,362
長崎県,女性,40～44歳,＋＋,61
長崎県,女性,40～44歳,＋＋＋,16
熊本県,女性,40～44歳,－,24012
熊本県,女性,40～44歳,±,1760
熊本県,女性,40～44歳,＋,446
熊本県,女性,40～44歳,＋＋,100
熊本県,女性,40～44歳,＋＋＋,29
大分県,女性,40～44歳,－,15580
大分県,女性,40～44歳,±,1515
大分県,女性,40～44歳,＋,290
大分県,女性,40～44歳,＋＋,69
大分県,女性,40～44歳,＋＋＋,23
宮崎県,女性,40～44歳,－,12749
宮崎県,女性,40～44歳,±,1387
宮崎県,女性,40～44歳,＋,222
宮崎県,女性,40～44歳,＋＋,51
宮崎県,女性,40～44歳,＋＋＋,-
鹿児島県,女性,40～44歳,－,17940
鹿児島県,女性,40～44歳,±,1820
鹿児島県,女性,40～44歳,＋,384
鹿児島県,女性,40～44歳,＋＋,88
鹿児島県,女性,40～44歳,＋＋＋,23
沖縄県,女性,40～44歳,－,19486
沖縄県,女性,40～44歳,±,1812
沖縄県,女性,40～44歳,＋,283
沖縄県,女性,40～44歳,＋＋,72
沖縄県,女性,40～44歳,＋＋＋,-
北海道,女性,45～49歳,－,69654
北海道,女性,45～49歳,±,5790
北海道,女性,45～49歳,＋,1562
北海道,女性,45～49歳,＋＋,315
北海道,女性,45～49歳,＋＋＋,76
青森県,女性,45～49歳,－,18529
青森県,女性,45～49歳,±,1515
青森県,女性,45～49歳,＋,399
青森県,女性,45～49歳,＋＋,106
青森県,女性,45～49歳,＋＋＋,32
岩手県,女性,45～49歳,－,19999
岩手県,女性,45～49歳,±,1176
岩手県,女性,45～49歳,＋,368
岩手県,女性,45～49歳,＋＋,73
岩手県,女性,45～49歳,＋＋＋,15
宮城県,女性,45～49歳,－,40824
宮城県,女性,45～49歳,±,3176
宮城県,女性,45～49歳,＋,615
宮城県,女性,45～49歳,＋＋,126
宮城県,女性,45～49歳,＋＋＋,32
秋田県,女性,45～49歳,－,14552
秋田県,女性,45～49歳,±,1112
秋田県,女性,45～49歳,＋,271
秋田県,女性,45～49歳,＋＋,75
秋田県,女性,45～49歳,＋＋＋,-
山形県,女性,45～49歳,－,21280
山形県,女性,45～49歳,±,673
山形県,女性,45～49歳,＋,196
山形県,女性,45～49歳,＋＋,57
山形県,女性,45～49歳,＋＋＋,22
福島県,女性,45～49歳,－,29053
福島県,女性,45～49歳,±,1973
福島県,女性,45～49歳,＋,484
福島県,女性,45～49歳,＋＋,125
福島県,女性,45～49歳,＋＋＋,26
茨城県,女性,45～49歳,－,46556
茨城県,女性,45～49歳,±,3113
茨城県,女性,45～49歳,＋,617
茨城県,女性,45～49歳,＋＋,142
茨城県,女性,45～49歳,＋＋＋,37
栃木県,女性,45～49歳,－,31890
栃木県,女性,45～49歳,±,1929
栃木県,女性,45～49歳,＋,491
栃木県,女性,45～49歳,＋＋,127
栃木県,女性,45～49歳,＋＋＋,20
群馬県,女性,45～49歳,－,30830
群馬県,女性,45～49歳,±,2385
群馬県,女性,45～49歳,＋,520
群馬県,女性,45～49歳,＋＋,121
群馬県,女性,45～49歳,＋＋＋,24
埼玉県,女性,45～49歳,－,119648
埼玉県,女性,45～49歳,±,7933
埼玉県,女性,45～49歳,＋,1907
埼玉県,女性,45～49歳,＋＋,427
埼玉県,女性,45～49歳,＋＋＋,86
千葉県,女性,45～49歳,－,101573
千葉県,女性,45～49歳,±,7256
千葉県,女性,45～49歳,＋,1677
千葉県,女性,45～49歳,＋＋,360
千葉県,女性,45～49歳,＋＋＋,95
東京都,女性,45～49歳,－,276447
東京都,女性,45～49歳,±,18684
東京都,女性,45～49歳,＋,4431
東京都,女性,45～49歳,＋＋,934
東京都,女性,45～49歳,＋＋＋,178
神奈川県,女性,45～49歳,－,160721
神奈川県,女性,45～49歳,±,10058
神奈川県,女性,45～49歳,＋,2352
神奈川県,女性,45～49歳,＋＋,589
神奈川県,女性,45～49歳,＋＋＋,135
新潟県,女性,45～49歳,－,40958
新潟県,女性,45～49歳,±,1975
新潟県,女性,45～49歳,＋,922
新潟県,女性,45～49歳,＋＋,156
新潟県,女性,45～49歳,＋＋＋,24
富山県,女性,45～49歳,－,20121
富山県,女性,45～49歳,±,1166
富山県,女性,45～49歳,＋,390
富山県,女性,45～49歳,＋＋,108
富山県,女性,45～49歳,＋＋＋,12
石川県,女性,45～49歳,－,20847
石川県,女性,45～49歳,±,2217
石川県,女性,45～49歳,＋,502
石川県,女性,45～49歳,＋＋,95
石川県,女性,45～49歳,＋＋＋,32
福井県,女性,45～49歳,－,13687
福井県,女性,45～49歳,±,854
福井県,女性,45～49歳,＋,296
福井県,女性,45～49歳,＋＋,58
福井県,女性,45～49歳,＋＋＋,14
山梨県,女性,45～49歳,－,13399
山梨県,女性,45～49歳,±,1453
山梨県,女性,45～49歳,＋,220
山梨県,女性,45～49歳,＋＋,57
山梨県,女性,45～49歳,＋＋＋,-
長野県,女性,45～49歳,－,36440
長野県,女性,45～49歳,±,2424
長野県,女性,45～49歳,＋,514
長野県,女性,45～49歳,＋＋,102
長野県,女性,45～49歳,＋＋＋,33
岐阜県,女性,45～49歳,－,32452
岐阜県,女性,45～49歳,±,2400
岐阜県,女性,45～49歳,＋,685
岐阜県,女性,45～49歳,＋＋,148
岐阜県,女性,45～49歳,＋＋＋,35
静岡県,女性,45～49歳,－,63274
静岡県,女性,45～49歳,±,3239
静岡県,女性,45～49歳,＋,745
静岡県,女性,45～49歳,＋＋,209
静岡県,女性,45～49歳,＋＋＋,71
愛知県,女性,45～49歳,－,128965
愛知県,女性,45～49歳,±,8594
愛知県,女性,45～49歳,＋,2598
愛知県,女性,45～49歳,＋＋,553
愛知県,女性,45～49歳,＋＋＋,134
三重県,女性,45～49歳,－,29830
三重県,女性,45～49歳,±,1997
三重県,女性,45～49歳,＋,484
三重県,女性,45～49歳,＋＋,102
三重県,女性,45～49歳,＋＋＋,29
滋賀県,女性,45～49歳,－,25230
滋賀県,女性,45～49歳,±,1458
滋賀県,女性,45～49歳,＋,422
滋賀県,女性,45～49歳,＋＋,112
滋賀県,女性,45～49歳,＋＋＋,-
京都府,女性,45～49歳,－,40286
京都府,女性,45～49歳,±,3709
京都府,女性,45～49歳,＋,855
京都府,女性,45～49歳,＋＋,167
京都府,女性,45～49歳,＋＋＋,37
大阪府,女性,45～49歳,－,138597
大阪府,女性,45～49歳,±,10914
大阪府,女性,45～49歳,＋,3071
大阪府,女性,45～49歳,＋＋,606
大阪府,女性,45～49歳,＋＋＋,139
兵庫県,女性,45～49歳,－,84620
兵庫県,女性,45～49歳,±,7921
兵庫県,女性,45～49歳,＋,1886
兵庫県,女性,45～49歳,＋＋,361
兵庫県,女性,45～49歳,＋＋＋,69
奈良県,女性,45～49歳,－,19320
奈良県,女性,45～49歳,±,1850
奈良県,女性,45～49歳,＋,428
奈良県,女性,45～49歳,＋＋,78
奈良県,女性,45～49歳,＋＋＋,18
和歌山県,女性,45～49歳,－,12646
和歌山県,女性,45～49歳,±,1095
和歌山県,女性,45～49歳,＋,305
和歌山県,女性,45～49歳,＋＋,50
和歌山県,女性,45～49歳,＋＋＋,13
鳥取県,女性,45～49歳,－,8562
鳥取県,女性,45～49歳,±,676
鳥取県,女性,45～49歳,＋,141
鳥取県,女性,45～49歳,＋＋,41
鳥取県,女性,45～49歳,＋＋＋,16
島根県,女性,45～49歳,－,11422
島根県,女性,45～49歳,±,900
島根県,女性,45～49歳,＋,285
島根県,女性,45～49歳,＋＋,60
島根県,女性,45～49歳,＋＋＋,11
岡山県,女性,45～49歳,－,30880
岡山県,女性,45～49歳,±,2600
岡山県,女性,45～49歳,＋,441
岡山県,女性,45～49歳,＋＋,95
岡山県,女性,45～49歳,＋＋＋,21
広島県,女性,45～49歳,－,45056
広島県,女性,45～49歳,±,3560
広島県,女性,45～49歳,＋,784
広島県,女性,45～49歳,＋＋,201
広島県,女性,45～49歳,＋＋＋,46
山口県,女性,45～49歳,－,19050
山口県,女性,45～49歳,±,1547
山口県,女性,45～49歳,＋,406
山口県,女性,45～49歳,＋＋,103
山口県,女性,45～49歳,＋＋＋,26
徳島県,女性,45～49歳,－,10399
徳島県,女性,45～49歳,±,1643
徳島県,女性,45～49歳,＋,366
徳島県,女性,45～49歳,＋＋,56
徳島県,女性,45～49歳,＋＋＋,18
香川県,女性,45～49歳,－,15835
香川県,女性,45～49歳,±,1519
香川県,女性,45～49歳,＋,276
香川県,女性,45～49歳,＋＋,54
香川県,女性,45～49歳,＋＋＋,12
愛媛県,女性,45～49歳,－,21366
愛媛県,女性,45～49歳,±,1725
愛媛県,女性,45～49歳,＋,551
愛媛県,女性,45～49歳,＋＋,96
愛媛県,女性,45～49歳,＋＋＋,23
高知県,女性,45～49歳,－,11056
高知県,女性,45～49歳,±,1190
高知県,女性,45～49歳,＋,252
高知県,女性,45～49歳,＋＋,83
高知県,女性,45～49歳,＋＋＋,21
福岡県,女性,45～49歳,－,78634
福岡県,女性,45～49歳,±,6385
福岡県,女性,45～49歳,＋,1497
福岡県,女性,45～49歳,＋＋,387
福岡県,女性,45～49歳,＋＋＋,73
佐賀県,女性,45～49歳,－,11210
佐賀県,女性,45～49歳,±,1356
佐賀県,女性,45～49歳,＋,267
佐賀県,女性,45～49歳,＋＋,55
佐賀県,女性,45～49歳,＋＋＋,10
長崎県,女性,45～49歳,－,18223
長崎県,女性,45～49歳,±,1742
長崎県,女性,45～49歳,＋,399
長崎県,女性,45～49歳,＋＋,85
長崎県,女性,45～49歳,＋＋＋,18
熊本県,女性,45～49歳,－,27678
熊本県,女性,45～49歳,±,1774
熊本県,女性,45～49歳,＋,541
熊本県,女性,45～49歳,＋＋,104
熊本県,女性,45～49歳,＋＋＋,25
大分県,女性,45～49歳,－,18456
大分県,女性,45～49歳,±,1669
大分県,女性,45～49歳,＋,379
大分県,女性,45～49歳,＋＋,87
大分県,女性,45～49歳,＋＋＋,21
宮崎県,女性,45～49歳,－,15144
宮崎県,女性,45～49歳,±,1559
宮崎県,女性,45～49歳,＋,288
宮崎県,女性,45～49歳,＋＋,70
宮崎県,女性,45～49歳,＋＋＋,10
鹿児島県,女性,45～49歳,－,20167
鹿児島県,女性,45～49歳,±,1956
鹿児島県,女性,45～49歳,＋,437
鹿児島県,女性,45～49歳,＋＋,114
鹿児島県,女性,45～49歳,＋＋＋,22
沖縄県,女性,45～49歳,－,22353
沖縄県,女性,45～49歳,±,1927
沖縄県,女性,45～49歳,＋,339
沖縄県,女性,45～49歳,＋＋,73
沖縄県,女性,45～49歳,＋＋＋,16
北海道,女性,50～54歳,－,68893
北海道,女性,50～54歳,±,4548
北海道,女性,50～54歳,＋,1265
北海道,女性,50～54歳,＋＋,307
北海道,女性,50～54歳,＋＋＋,68
青森県,女性,50～54歳,－,18964
青森県,女性,50～54歳,±,1271
青森県,女性,50～54歳,＋,352
青森県,女性,50～54歳,＋＋,85
青森県,女性,50～54歳,＋＋＋,26
岩手県,女性,50～54歳,－,19689
岩手県,女性,50～54歳,±,893
岩手県,女性,50～54歳,＋,275
岩手県,女性,50～54歳,＋＋,54
岩手県,女性,50～54歳,＋＋＋,19
宮城県,女性,50～54歳,－,38708
宮城県,女性,50～54歳,±,2295
宮城県,女性,50～54歳,＋,435
宮城県,女性,50～54歳,＋＋,91
宮城県,女性,50～54歳,＋＋＋,21
秋田県,女性,50～54歳,－,14926
秋田県,女性,50～54歳,±,870
秋田県,女性,50～54歳,＋,203
秋田県,女性,50～54歳,＋＋,42
秋田県,女性,50～54歳,＋＋＋,11
山形県,女性,50～54歳,－,20498
山形県,女性,50～54歳,±,481
山形県,女性,50～54歳,＋,159
山形県,女性,50～54歳,＋＋,45
山形県,女性,50～54歳,＋＋＋,21
福島県,女性,50～54歳,－,28418
福島県,女性,50～54歳,±,1552
福島県,女性,50～54歳,＋,397
福島県,女性,50～54歳,＋＋,109
福島県,女性,50～54歳,＋＋＋,22
茨城県,女性,50～54歳,－,46639
茨城県,女性,50～54歳,±,2290
茨城県,女性,50～54歳,＋,513
茨城県,女性,50～54歳,＋＋,147
茨城県,女性,50～54歳,＋＋＋,35
栃木県,女性,50～54歳,－,31450
栃木県,女性,50～54歳,±,1409
栃木県,女性,50～54歳,＋,404
栃木県,女性,50～54歳,＋＋,113
栃木県,女性,50～54歳,＋＋＋,24
群馬県,女性,50～54歳,－,31439
群馬県,女性,50～54歳,±,2081
群馬県,女性,50～54歳,＋,438
群馬県,女性,50～54歳,＋＋,84
群馬県,女性,50～54歳,＋＋＋,26
埼玉県,女性,50～54歳,－,122441
埼玉県,女性,50～54歳,±,6576
埼玉県,女性,50～54歳,＋,1606
埼玉県,女性,50～54歳,＋＋,389
埼玉県,女性,50～54歳,＋＋＋,86
千葉県,女性,50～54歳,－,104438
千葉県,女性,50～54歳,±,5710
千葉県,女性,50～54歳,＋,1464
千葉県,女性,50～54歳,＋＋,346
千葉県,女性,50～54歳,＋＋＋,89
東京都,女性,50～54歳,－,275912
東京都,女性,50～54歳,±,14856
東京都,女性,50～54歳,＋,3806
東京都,女性,50～54歳,＋＋,834
東京都,女性,50～54歳,＋＋＋,202
神奈川県,女性,50～54歳,－,167292
神奈川県,女性,50～54歳,±,8265
神奈川県,女性,50～54歳,＋,2039
神奈川県,女性,50～54歳,＋＋,512
神奈川県,女性,50～54歳,＋＋＋,116
新潟県,女性,50～54歳,－,39282
新潟県,女性,50～54歳,±,1560
新潟県,女性,50～54歳,＋,715
新潟県,女性,50～54歳,＋＋,108
新潟県,女性,50～54歳,＋＋＋,20
富山県,女性,50～54歳,－,19939
富山県,女性,50～54歳,±,933
富山県,女性,50～54歳,＋,325
富山県,女性,50～54歳,＋＋,77
富山県,女性,50～54歳,＋＋＋,14
石川県,女性,50～54歳,－,20237
石川県,女性,50～54歳,±,1682
石川県,女性,50～54歳,＋,407
石川県,女性,50～54歳,＋＋,94
石川県,女性,50～54歳,＋＋＋,21
福井県,女性,50～54歳,－,13400
福井県,女性,50～54歳,±,696
福井県,女性,50～54歳,＋,219
福井県,女性,50～54歳,＋＋,50
福井県,女性,50～54歳,＋＋＋,20
山梨県,女性,50～54歳,－,14649
山梨県,女性,50～54歳,±,1160
山梨県,女性,50～54歳,＋,234
山梨県,女性,50～54歳,＋＋,59
山梨県,女性,50～54歳,＋＋＋,11
長野県,女性,50～54歳,－,37244
長野県,女性,50～54歳,±,1963
長野県,女性,50～54歳,＋,450
長野県,女性,50～54歳,＋＋,99
長野県,女性,50～54歳,＋＋＋,21
岐阜県,女性,50～54歳,－,33739
岐阜県,女性,50～54歳,±,1980
岐阜県,女性,50～54歳,＋,568
岐阜県,女性,50～54歳,＋＋,128
岐阜県,女性,50～54歳,＋＋＋,38
静岡県,女性,50～54歳,－,65108
静岡県,女性,50～54歳,±,2432
静岡県,女性,50～54歳,＋,727
静岡県,女性,50～54歳,＋＋,176
静岡県,女性,50～54歳,＋＋＋,60
愛知県,女性,50～54歳,－,130235
愛知県,女性,50～54歳,±,7202
愛知県,女性,50～54歳,＋,2293
愛知県,女性,50～54歳,＋＋,519
愛知県,女性,50～54歳,＋＋＋,116
三重県,女性,50～54歳,－,30774
三重県,女性,50～54歳,±,1642
三重県,女性,50～54歳,＋,394
三重県,女性,50～54歳,＋＋,107
三重県,女性,50～54歳,＋＋＋,27
滋賀県,女性,50～54歳,－,24392
滋賀県,女性,50～54歳,±,1174
滋賀県,女性,50～54歳,＋,327
滋賀県,女性,50～54歳,＋＋,76
滋賀県,女性,50～54歳,＋＋＋,23
京都府,女性,50～54歳,－,39959
京都府,女性,50～54歳,±,3008
京都府,女性,50～54歳,＋,694
京都府,女性,50～54歳,＋＋,162
京都府,女性,50～54歳,＋＋＋,30
大阪府,女性,50～54歳,－,143439
大阪府,女性,50～54歳,±,9125
大阪府,女性,50～54歳,＋,2710
大阪府,女性,50～54歳,＋＋,557
大阪府,女性,50～54歳,＋＋＋,146
兵庫県,女性,50～54歳,－,87258
兵庫県,女性,50～54歳,±,6402
兵庫県,女性,50～54歳,＋,1534
兵庫県,女性,50～54歳,＋＋,328
兵庫県,女性,50～54歳,＋＋＋,66
奈良県,女性,50～54歳,－,20667
奈良県,女性,50～54歳,±,1491
奈良県,女性,50～54歳,＋,317
奈良県,女性,50～54歳,＋＋,55
奈良県,女性,50～54歳,＋＋＋,14
和歌山県,女性,50～54歳,－,13405
和歌山県,女性,50～54歳,±,925
和歌山県,女性,50～54歳,＋,256
和歌山県,女性,50～54歳,＋＋,54
和歌山県,女性,50～54歳,＋＋＋,12
鳥取県,女性,50～54歳,－,7955
鳥取県,女性,50～54歳,±,548
鳥取県,女性,50～54歳,＋,112
鳥取県,女性,50～54歳,＋＋,25
鳥取県,女性,50～54歳,＋＋＋,11
島根県,女性,50～54歳,－,10561
島根県,女性,50～54歳,±,636
島根県,女性,50～54歳,＋,210
島根県,女性,50～54歳,＋＋,40
島根県,女性,50～54歳,＋＋＋,13
岡山県,女性,50～54歳,－,30009
岡山県,女性,50～54歳,±,1932
岡山県,女性,50～54歳,＋,326
岡山県,女性,50～54歳,＋＋,86
岡山県,女性,50～54歳,＋＋＋,18
広島県,女性,50～54歳,－,44193
広島県,女性,50～54歳,±,2673
広島県,女性,50～54歳,＋,662
広島県,女性,50～54歳,＋＋,171
広島県,女性,50～54歳,＋＋＋,48
山口県,女性,50～54歳,－,19505
山口県,女性,50～54歳,±,1218
山口県,女性,50～54歳,＋,330
山口県,女性,50～54歳,＋＋,85
山口県,女性,50～54歳,＋＋＋,24
徳島県,女性,50～54歳,－,10447
徳島県,女性,50～54歳,±,1352
徳島県,女性,50～54歳,＋,288
徳島県,女性,50～54歳,＋＋,63
徳島県,女性,50～54歳,＋＋＋,18
香川県,女性,50～54歳,－,15184
香川県,女性,50～54歳,±,1191
香川県,女性,50～54歳,＋,230
香川県,女性,50～54歳,＋＋,46
香川県,女性,50～54歳,＋＋＋,-
愛媛県,女性,50～54歳,－,21294
愛媛県,女性,50～54歳,±,1310
愛媛県,女性,50～54歳,＋,410
愛媛県,女性,50～54歳,＋＋,73
愛媛県,女性,50～54歳,＋＋＋,18
高知県,女性,50～54歳,－,10754
高知県,女性,50～54歳,±,908
高知県,女性,50～54歳,＋,181
高知県,女性,50～54歳,＋＋,50
高知県,女性,50～54歳,＋＋＋,17
福岡県,女性,50～54歳,－,75250
福岡県,女性,50～54歳,±,4748
福岡県,女性,50～54歳,＋,1118
福岡県,女性,50～54歳,＋＋,313
福岡県,女性,50～54歳,＋＋＋,64
佐賀県,女性,50～54歳,－,11054
佐賀県,女性,50～54歳,±,1003
佐賀県,女性,50～54歳,＋,199
佐賀県,女性,50～54歳,＋＋,43
佐賀県,女性,50～54歳,＋＋＋,15
長崎県,女性,50～54歳,－,18625
長崎県,女性,50～54歳,±,1470
長崎県,女性,50～54歳,＋,373
長崎県,女性,50～54歳,＋＋,76
長崎県,女性,50～54歳,＋＋＋,23
熊本県,女性,50～54歳,－,26697
熊本県,女性,50～54歳,±,1294
熊本県,女性,50～54歳,＋,356
熊本県,女性,50～54歳,＋＋,78
熊本県,女性,50～54歳,＋＋＋,23
大分県,女性,50～54歳,－,18179
大分県,女性,50～54歳,±,1280
大分県,女性,50～54歳,＋,268
大分県,女性,50～54歳,＋＋,66
大分県,女性,50～54歳,＋＋＋,17
宮崎県,女性,50～54歳,－,14588
宮崎県,女性,50～54歳,±,1181
宮崎県,女性,50～54歳,＋,242
宮崎県,女性,50～54歳,＋＋,64
宮崎県,女性,50～54歳,＋＋＋,23
鹿児島県,女性,50～54歳,－,20410
鹿児島県,女性,50～54歳,±,1555
鹿児島県,女性,50～54歳,＋,365
鹿児島県,女性,50～54歳,＋＋,83
鹿児島県,女性,50～54歳,＋＋＋,20
沖縄県,女性,50～54歳,－,20967
沖縄県,女性,50～54歳,±,1372
沖縄県,女性,50～54歳,＋,281
沖縄県,女性,50～54歳,＋＋,87
沖縄県,女性,50～54歳,＋＋＋,27
北海道,女性,55～59歳,－,61862
北海道,女性,55～59歳,±,3326
北海道,女性,55～59歳,＋,896
北海道,女性,55～59歳,＋＋,223
北海道,女性,55～59歳,＋＋＋,56
青森県,女性,55～59歳,－,18516
青森県,女性,55～59歳,±,1083
青森県,女性,55～59歳,＋,291
青森県,女性,55～59歳,＋＋,90
青森県,女性,55～59歳,＋＋＋,19
岩手県,女性,55～59歳,－,18720
岩手県,女性,55～59歳,±,702
岩手県,女性,55～59歳,＋,207
岩手県,女性,55～59歳,＋＋,52
岩手県,女性,55～59歳,＋＋＋,13
宮城県,女性,55～59歳,－,34997
宮城県,女性,55～59歳,±,1557
宮城県,女性,55～59歳,＋,325
宮城県,女性,55～59歳,＋＋,74
宮城県,女性,55～59歳,＋＋＋,13
秋田県,女性,55～59歳,－,14680
秋田県,女性,55～59歳,±,683
秋田県,女性,55～59歳,＋,187
秋田県,女性,55～59歳,＋＋,47
秋田県,女性,55～59歳,＋＋＋,-
山形県,女性,55～59歳,－,20188
山形県,女性,55～59歳,±,386
山形県,女性,55～59歳,＋,130
山形県,女性,55～59歳,＋＋,40
山形県,女性,55～59歳,＋＋＋,10
福島県,女性,55～59歳,－,28080
福島県,女性,55～59歳,±,1248
福島県,女性,55～59歳,＋,331
福島県,女性,55～59歳,＋＋,82
福島県,女性,55～59歳,＋＋＋,13
茨城県,女性,55～59歳,－,40060
茨城県,女性,55～59歳,±,1590
茨城県,女性,55～59歳,＋,418
茨城県,女性,55～59歳,＋＋,108
茨城県,女性,55～59歳,＋＋＋,30
栃木県,女性,55～59歳,－,27110
栃木県,女性,55～59歳,±,996
栃木県,女性,55～59歳,＋,277
栃木県,女性,55～59歳,＋＋,86
栃木県,女性,55～59歳,＋＋＋,17
群馬県,女性,55～59歳,－,27225
群馬県,女性,55～59歳,±,1439
群馬県,女性,55～59歳,＋,347
群馬県,女性,55～59歳,＋＋,67
群馬県,女性,55～59歳,＋＋＋,16
埼玉県,女性,55～59歳,－,100603
埼玉県,女性,55～59歳,±,4420
埼玉県,女性,55～59歳,＋,1160
埼玉県,女性,55～59歳,＋＋,305
埼玉県,女性,55～59歳,＋＋＋,54
千葉県,女性,55～59歳,－,84750
千葉県,女性,55～59歳,±,3956
千葉県,女性,55～59歳,＋,1011
千葉県,女性,55～59歳,＋＋,250
千葉県,女性,55～59歳,＋＋＋,55
東京都,女性,55～59歳,－,219902
東京都,女性,55～59歳,±,10129
東京都,女性,55～59歳,＋,2658
東京都,女性,55～59歳,＋＋,594
東京都,女性,55～59歳,＋＋＋,143
神奈川県,女性,55～59歳,－,132351
神奈川県,女性,55～59歳,±,5534
