都道府県,性別,年齢区分,下限値,上限値,人数
山梨県,男性,40～44歳,18.5,20.0,1114
山梨県,男性,40～44歳,0.0,18.5,499
長野県,男性,40～44歳,40.0,inf,169
長野県,男性,40～44歳,35.0,40.0,451
長野県,男性,40～44歳,30.0,35.0,2412
長野県,男性,40～44歳,25.0,30.0,10300
長野県,男性,40～44歳,20.0,25.0,23284
長野県,男性,40～44歳,18.5,20.0,3436
長野県,男性,40～44歳,0.0,18.5,1610
岐阜県,男性,40～44歳,40.0,inf,149
岐阜県,男性,40～44歳,35.0,40.0,503
岐阜県,男性,40～44歳,30.0,35.0,2294
岐阜県,男性,40～44歳,25.0,30.0,10289
岐阜県,男性,40～44歳,20.0,25.0,21541
岐阜県,男性,40～44歳,18.5,20.0,3104
岐阜県,男性,40～44歳,0.0,18.5,1510
静岡県,男性,40～44歳,40.0,inf,309
静岡県,男性,40～44歳,35.0,40.0,1016
静岡県,男性,40～44歳,30.0,35.0,4714
静岡県,男性,40～44歳,25.0,30.0,19584
静岡県,男性,40～44歳,20.0,25.0,42109
静岡県,男性,40～44歳,18.5,20.0,5982
静岡県,男性,40～44歳,0.0,18.5,2699
愛知県,男性,40～44歳,40.0,inf,736
愛知県,男性,40～44歳,35.0,40.0,2154
愛知県,男性,40～44歳,30.0,35.0,10337
愛知県,男性,40～44歳,25.0,30.0,44153
愛知県,男性,40～44歳,20.0,25.0,93900
愛知県,男性,40～44歳,18.5,20.0,13062
愛知県,男性,40～44歳,0.0,18.5,5807
三重県,男性,40～44歳,40.0,inf,169
三重県,男性,40～44歳,35.0,40.0,479
三重県,男性,40～44歳,30.0,35.0,2207
三重県,男性,40～44歳,25.0,30.0,9097
三重県,男性,40～44歳,20.0,25.0,19034
三重県,男性,40～44歳,18.5,20.0,2622
三重県,男性,40～44歳,0.0,18.5,1270
滋賀県,男性,40～44歳,40.0,inf,103
滋賀県,男性,40～44歳,35.0,40.0,365
滋賀県,男性,40～44歳,30.0,35.0,1631
滋賀県,男性,40～44歳,25.0,30.0,7556
滋賀県,男性,40～44歳,20.0,25.0,16910
滋賀県,男性,40～44歳,18.5,20.0,2492
滋賀県,男性,40～44歳,0.0,18.5,1072
京都府,男性,40～44歳,40.0,inf,156
京都府,男性,40～44歳,35.0,40.0,453
京都府,男性,40～44歳,30.0,35.0,2290
京都府,男性,40～44歳,25.0,30.0,11041
京都府,男性,40～44歳,20.0,25.0,25181
京都府,男性,40～44歳,18.5,20.0,3843
京都府,男性,40～44歳,0.0,18.5,1725
大阪府,男性,40～44歳,40.0,inf,622
大阪府,男性,40～44歳,35.0,40.0,2071
大阪府,男性,40～44歳,30.0,35.0,9312
大阪府,男性,40～44歳,25.0,30.0,40456
大阪府,男性,40～44歳,20.0,25.0,83170
大阪府,男性,40～44歳,18.5,20.0,11211
大阪府,男性,40～44歳,0.0,18.5,5056
兵庫県,男性,40～44歳,40.0,inf,361
兵庫県,男性,40～44歳,35.0,40.0,1176
兵庫県,男性,40～44歳,30.0,35.0,5530
兵庫県,男性,40～44歳,25.0,30.0,25458
兵庫県,男性,40～44歳,20.0,25.0,54577
兵庫県,男性,40～44歳,18.5,20.0,7495
