都道府県,性別,年齢区分,下限値,上限値,人数
愛媛県,男性,40～44歳,0.0,150.0,17951
高知県,男性,40～44歳,300.0,inf,678
高知県,男性,40～44歳,150.0,300.0,2534
高知県,男性,40～44歳,0.0,150.0,8812
福岡県,男性,40～44歳,300.0,inf,5097
福岡県,男性,40～44歳,150.0,300.0,20166
福岡県,男性,40～44歳,0.0,150.0,69948
佐賀県,男性,40～44歳,300.0,inf,761
佐賀県,男性,40～44歳,150.0,300.0,3000
佐賀県,男性,40～44歳,0.0,150.0,10803
長崎県,男性,40～44歳,300.0,inf,952
長崎県,男性,40～44歳,150.0,300.0,4209
長崎県,男性,40～44歳,0.0,150.0,15003
熊本県,男性,40～44歳,300.0,inf,1812
熊本県,男性,40～44歳,150.0,300.0,6733
熊本県,男性,40～44歳,0.0,150.0,22913
大分県,男性,40～44歳,300.0,inf,1037
大分県,男性,40～44歳,150.0,300.0,4455
大分県,男性,40～44歳,0.0,150.0,15879
宮崎県,男性,40～44歳,300.0,inf,1129
宮崎県,男性,40～44歳,150.0,300.0,3868
宮崎県,男性,40～44歳,0.0,150.0,13732
鹿児島県,男性,40～44歳,300.0,inf,1579
鹿児島県,男性,40～44歳,150.0,300.0,5513
鹿児島県,男性,40～44歳,0.0,150.0,18937
沖縄県,男性,40～44歳,300.0,inf,1818
沖縄県,男性,40～44歳,150.0,300.0,6031
沖縄県,男性,40～44歳,0.0,150.0,16703
北海道,男性,45～49歳,300.0,inf,5755
北海道,男性,45～49歳,150.0,300.0,23785
北海道,男性,45～49歳,0.0,150.0,71836
青森県,男性,45～49歳,300.0,inf,1638
青森県,男性,45～49歳,150.0,300.0,6403
青森県,男性,45～49歳,0.0,150.0,17686
岩手県,男性,45～49歳,300.0,inf,1939
岩手県,男性,45～49歳,150.0,300.0,7362
岩手県,男性,45～49歳,0.0,150.0,18411
宮城県,男性,45～49歳,300.0,inf,3162
宮城県,男性,45～49歳,150.0,300.0,13532
宮城県,男性,45～49歳,0.0,150.0,39206
秋田県,男性,45～49歳,300.0,inf,1538
秋田県,男性,45～49歳,150.0,300.0,5112
秋田県,男性,45～49歳,0.0,150.0,13064
山形県,男性,45～49歳,300.0,inf,1577
山形県,男性,45～49歳,150.0,300.0,6248
山形県,男性,45～49歳,0.0,150.0,17915
福島県,男性,45～49歳,300.0,inf,2379
福島県,男性,45～49歳,150.0,300.0,9609
福島県,男性,45～49歳,0.0,150.0,28471
茨城県,男性,45～49歳,300.0,inf,3841
茨城県,男性,45～49歳,150.0,300.0,16014
茨城県,男性,45～49歳,0.0,150.0,48747
栃木県,男性,45～49歳,300.0,inf,2675
栃木県,男性,45～49歳,150.0,300.0,11189
栃木県,男性,45～49歳,0.0,150.0,34980
群馬県,男性,45～49歳,300.0,inf,2390
群馬県,男性,45～49歳,150.0,300.0,10632
群馬県,男性,45～49歳,0.0,150.0,32885
埼玉県,男性,45～49歳,300.0,inf,8976
埼玉県,男性,45～49歳,150.0,300.0,40009
埼玉県,男性,45～49歳,0.0,150.0,131296
千葉県,男性,45～49歳,300.0,inf,7677
千葉県,男性,45～49歳,150.0,300.0,33537
千葉県,男性,45～49歳,0.0,150.0,107206
東京都,男性,45～49歳,300.0,inf,18202
東京都,男性,45～49歳,150.0,300.0,80819
東京都,男性,45～49歳,0.0,150.0,263871
神奈川県,男性,45～49歳,300.0,inf,11328
神奈川県,男性,45～49歳,150.0,300.0,50780
神奈川県,男性,45～49歳,0.0,150.0,171006
新潟県,男性,45～49歳,300.0,inf,2959
新潟県,男性,45～49歳,150.0,300.0,12200
新潟県,男性,45～49歳,0.0,150.0,40047
富山県,男性,45～49歳,300.0,inf,1627
富山県,男性,45～49歳,150.0,300.0,6656
富山県,男性,45～49歳,0.0,150.0,20495
石川県,男性,45～49歳,300.0,inf,1648
石川県,男性,45～49歳,150.0,300.0,6705
石川県,男性,45～49歳,0.0,150.0,20998
福井県,男性,45～49歳,300.0,inf,1068
福井県,男性,45～49歳,150.0,300.0,4258
