都道府県,性別,年齢区分,下限値,上限値,人数
長野県,男性,40～44歳,110.0,inf,401
長野県,男性,40～44歳,100.0,110.0,1218
長野県,男性,40～44歳,90.0,100.0,3879
長野県,男性,40～44歳,85.0,90.0,4033
長野県,男性,40～44歳,80.0,85.0,6467
長野県,男性,40～44歳,0.0,80.0,25663
岐阜県,男性,40～44歳,110.0,inf,387
岐阜県,男性,40～44歳,100.0,110.0,1039
岐阜県,男性,40～44歳,90.0,100.0,3396
岐阜県,男性,40～44歳,85.0,90.0,3914
岐阜県,男性,40～44歳,80.0,85.0,6058
岐阜県,男性,40～44歳,0.0,80.0,24594
静岡県,男性,40～44歳,110.0,inf,530
静岡県,男性,40～44歳,100.0,110.0,1680
静岡県,男性,40～44歳,90.0,100.0,5689
静岡県,男性,40～44歳,85.0,90.0,5965
静岡県,男性,40～44歳,80.0,85.0,12183
静岡県,男性,40～44歳,0.0,80.0,50363
愛知県,男性,40～44歳,110.0,inf,1423
愛知県,男性,40～44歳,100.0,110.0,4262
愛知県,男性,40～44歳,90.0,100.0,13911
愛知県,男性,40～44歳,85.0,90.0,15577
愛知県,男性,40～44歳,80.0,85.0,25652
愛知県,男性,40～44歳,0.0,80.0,109321
三重県,男性,40～44歳,110.0,inf,323
三重県,男性,40～44歳,100.0,110.0,938
三重県,男性,40～44歳,90.0,100.0,3083
三重県,男性,40～44歳,85.0,90.0,3200
三重県,男性,40～44歳,80.0,85.0,5751
三重県,男性,40～44歳,0.0,80.0,21582
滋賀県,男性,40～44歳,110.0,inf,250
滋賀県,男性,40～44歳,100.0,110.0,806
滋賀県,男性,40～44歳,90.0,100.0,2534
滋賀県,男性,40～44歳,85.0,90.0,3120
滋賀県,男性,40～44歳,80.0,85.0,4697
滋賀県,男性,40～44歳,0.0,80.0,18721
京都府,男性,40～44歳,110.0,inf,342
京都府,男性,40～44歳,100.0,110.0,1168
京都府,男性,40～44歳,90.0,100.0,3505
京都府,男性,40～44歳,85.0,90.0,4531
京都府,男性,40～44歳,80.0,85.0,6889
京都府,男性,40～44歳,0.0,80.0,28251
大阪府,男性,40～44歳,110.0,inf,1440
大阪府,男性,40～44歳,100.0,110.0,3938
大阪府,男性,40～44歳,90.0,100.0,13095
大阪府,男性,40～44歳,85.0,90.0,14107
大阪府,男性,40～44歳,80.0,85.0,22664
大阪府,男性,40～44歳,0.0,80.0,96652
兵庫県,男性,40～44歳,110.0,inf,789
兵庫県,男性,40～44歳,100.0,110.0,2444
兵庫県,男性,40～44歳,90.0,100.0,8076
兵庫県,男性,40～44歳,85.0,90.0,9535
兵庫県,男性,40～44歳,80.0,85.0,15145
兵庫県,男性,40～44歳,0.0,80.0,61967
奈良県,男性,40～44歳,110.0,inf,190
奈良県,男性,40～44歳,100.0,110.0,507
奈良県,男性,40～44歳,90.0,100.0,1803
奈良県,男性,40～44歳,85.0,90.0,2004
奈良県,男性,40～44歳,80.0,85.0,3200
奈良県,男性,40～44歳,0.0,80.0,12856
和歌山県,男性,40～44歳,110.0,inf,170
和歌山県,男性,40～44歳,100.0,110.0,515
和歌山県,男性,40～44歳,90.0,100.0,1638
和歌山県,男性,40～44歳,85.0,90.0,1692
和歌山県,男性,40～44歳,80.0,85.0,2420
