都道府県,性別,年齢区分,下限値,上限値,人数
山梨県,男性,40～44歳,0.0,100.0,2852
長野県,男性,40～44歳,180.0,inf,2144
長野県,男性,40～44歳,160.0,180.0,3686
長野県,男性,40～44歳,140.0,160.0,7162
長野県,男性,40～44歳,120.0,140.0,10247
長野県,男性,40～44歳,100.0,120.0,10026
長野県,男性,40～44歳,0.0,100.0,8336
岐阜県,男性,40～44歳,180.0,inf,2137
岐阜県,男性,40～44歳,160.0,180.0,3489
岐阜県,男性,40～44歳,140.0,160.0,6881
岐阜県,男性,40～44歳,120.0,140.0,9808
岐阜県,男性,40～44歳,100.0,120.0,9345
岐阜県,男性,40～44歳,0.0,100.0,7696
静岡県,男性,40～44歳,180.0,inf,4606
静岡県,男性,40～44歳,160.0,180.0,7349
静岡県,男性,40～44歳,140.0,160.0,13964
静岡県,男性,40～44歳,120.0,140.0,19383
静岡県,男性,40～44歳,100.0,120.0,17396
静岡県,男性,40～44歳,0.0,100.0,13442
愛知県,男性,40～44歳,180.0,inf,9158
愛知県,男性,40～44歳,160.0,180.0,15397
愛知県,男性,40～44歳,140.0,160.0,30564
愛知県,男性,40～44歳,120.0,140.0,42497
愛知県,男性,40～44歳,100.0,120.0,40592
愛知県,男性,40～44歳,0.0,100.0,31775
三重県,男性,40～44歳,180.0,inf,1878
三重県,男性,40～44歳,160.0,180.0,3279
三重県,男性,40～44歳,140.0,160.0,6021
三重県,男性,40～44歳,120.0,140.0,8666
三重県,男性,40～44歳,100.0,120.0,8161
三重県,男性,40～44歳,0.0,100.0,6837
滋賀県,男性,40～44歳,180.0,inf,1469
滋賀県,男性,40～44歳,160.0,180.0,2635
滋賀県,男性,40～44歳,140.0,160.0,5030
滋賀県,男性,40～44歳,120.0,140.0,7509
滋賀県,男性,40～44歳,100.0,120.0,7312
滋賀県,男性,40～44歳,0.0,100.0,6145
京都府,男性,40～44歳,180.0,inf,2436
京都府,男性,40～44歳,160.0,180.0,4006
京都府,男性,40～44歳,140.0,160.0,7643
京都府,男性,40～44歳,120.0,140.0,11153
京都府,男性,40～44歳,100.0,120.0,10639
京都府,男性,40～44歳,0.0,100.0,8745
大阪府,男性,40～44歳,180.0,inf,8316
大阪府,男性,40～44歳,160.0,180.0,13857
大阪府,男性,40～44歳,140.0,160.0,26911
大阪府,男性,40～44歳,120.0,140.0,37730
大阪府,男性,40～44歳,100.0,120.0,35531
大阪府,男性,40～44歳,0.0,100.0,29017
兵庫県,男性,40～44歳,180.0,inf,5386
兵庫県,男性,40～44歳,160.0,180.0,8921
兵庫県,男性,40～44歳,140.0,160.0,17519
兵庫県,男性,40～44歳,120.0,140.0,24450
兵庫県,男性,40～44歳,100.0,120.0,22959
兵庫県,男性,40～44歳,0.0,100.0,18567
奈良県,男性,40～44歳,180.0,inf,1107
奈良県,男性,40～44歳,160.0,180.0,1956
奈良県,男性,40～44歳,140.0,160.0,3732
奈良県,男性,40～44歳,120.0,140.0,5254
奈良県,男性,40～44歳,100.0,120.0,4733
奈良県,男性,40～44歳,0.0,100.0,3746
和歌山県,男性,40～44歳,180.0,inf,857
