都道府県,性別,年齢区分,下限値,上限値,人数
高知県,男性,40～44歳,0.0,35.0,229
高知県,男性,40～44歳,35.0,40.0,612
高知県,男性,40～44歳,40.0,inf,11186
福岡県,男性,40～44歳,0.0,35.0,1545
福岡県,男性,40～44歳,35.0,40.0,4458
福岡県,男性,40～44歳,40.0,inf,89244
佐賀県,男性,40～44歳,0.0,35.0,253
佐賀県,男性,40～44歳,35.0,40.0,719
佐賀県,男性,40～44歳,40.0,inf,13596
長崎県,男性,40～44歳,0.0,35.0,339
長崎県,男性,40～44歳,35.0,40.0,1028
長崎県,男性,40～44歳,40.0,inf,18797
熊本県,男性,40～44歳,0.0,35.0,676
熊本県,男性,40～44歳,35.0,40.0,1908
熊本県,男性,40～44歳,40.0,inf,28884
大分県,男性,40～44歳,0.0,35.0,362
大分県,男性,40～44歳,35.0,40.0,1134
大分県,男性,40～44歳,40.0,inf,19880
宮崎県,男性,40～44歳,0.0,35.0,442
宮崎県,男性,40～44歳,35.0,40.0,1167
宮崎県,男性,40～44歳,40.0,inf,17131
鹿児島県,男性,40～44歳,0.0,35.0,610
鹿児島県,男性,40～44歳,35.0,40.0,1451
鹿児島県,男性,40～44歳,40.0,inf,23998
沖縄県,男性,40～44歳,0.0,35.0,619
沖縄県,男性,40～44歳,35.0,40.0,1594
沖縄県,男性,40～44歳,40.0,inf,22351
北海道,男性,45～49歳,0.0,35.0,2078
北海道,男性,45～49歳,35.0,40.0,5593
北海道,男性,45～49歳,40.0,inf,93728
青森県,男性,45～49歳,0.0,35.0,410
青森県,男性,45～49歳,35.0,40.0,1201
青森県,男性,45～49歳,40.0,inf,24124
岩手県,男性,45～49歳,0.0,35.0,497
岩手県,男性,45～49歳,35.0,40.0,1382
岩手県,男性,45～49歳,40.0,inf,25845
宮城県,男性,45～49歳,0.0,35.0,1035
宮城県,男性,45～49歳,35.0,40.0,3130
宮城県,男性,45～49歳,40.0,inf,51754
秋田県,男性,45～49歳,0.0,35.0,355
秋田県,男性,45～49歳,35.0,40.0,962
秋田県,男性,45～49歳,40.0,inf,18402
山形県,男性,45～49歳,0.0,35.0,518
山形県,男性,45～49歳,35.0,40.0,1358
山形県,男性,45～49歳,40.0,inf,23868
福島県,男性,45～49歳,0.0,35.0,775
福島県,男性,45～49歳,35.0,40.0,2167
福島県,男性,45～49歳,40.0,inf,37524
茨城県,男性,45～49歳,0.0,35.0,1233
茨城県,男性,45～49歳,35.0,40.0,3677
茨城県,男性,45～49歳,40.0,inf,63701
栃木県,男性,45～49歳,0.0,35.0,946
栃木県,男性,45～49歳,35.0,40.0,2633
栃木県,男性,45～49歳,40.0,inf,45274
群馬県,男性,45～49歳,0.0,35.0,900
群馬県,男性,45～49歳,35.0,40.0,2528
群馬県,男性,45～49歳,40.0,inf,42490
埼玉県,男性,45～49歳,0.0,35.0,3206
